radial,horizontal_lsf,vertical_lsf
-2.000000,0.046190,0.058509
-1.000000,0.038504,0.049986
0.000000,0.038646,0.050277
1.000000,0.046663,0.059690
2.000000,0.045779,0.057042
3.000000,0.036238,0.044609
4.000000,0.035045,0.042813
5.000000,0.040150,0.046828
6.000000,0.037058,0.039943
7.000000,0.027793,0.028260
8.000000,0.026154,0.025846
9.000000,0.028309,0.025782
10.000000,0.024700,0.020223
11.000000,0.017500,0.012953
12.000000,0.015864,0.010979
13.000000,0.016120,0.009651
14.000000,0.013463,0.007357
15.000000,0.009013,0.004356
16.000000,0.007787,0.003358
17.000000,0.007356,0.002438
18.000000,0.005959,0.001924
19.000000,0.003662,0.000916
20.000000,0.003128,0.000783
21.000000,0.002953,0.000708
22.000000,0.002342,0.000507
23.000000,0.001236,0.000000
24.000000,0.001129,0.000229
25.000000,0.001107,0.000430
26.000000,0.000828,0.000266
27.000000,0.000161,0.000000
28.000000,0.000193,0.000000
29.000000,0.000481,0.000347
30.000000,0.000339,0.000194
31.000000,0.000000,0.000000
32.000000,0.000031,0.000000
33.000000,0.000279,0.000249
34.000000,0.000295,0.000252
35.000000,0.000000,0.000000
36.000000,0.000053,0.000079
37.000000,0.000390,0.000459
38.000000,0.000259,0.000314
39.000000,0.000000,0.000000
40.000000,0.000219,0.000221
41.000000,0.000291,0.000320
42.000000,0.000206,0.000239
43.000000,0.000075,0.000120
44.000000,0.000073,0.000142
45.000000,0.000064,0.000067
46.000000,0.000003,0.000000
47.000000,0.000078,0.000083
48.000000,0.000090,0.000151
49.000000,0.000062,0.000053
50.000000,0.000327,0.000299
51.000000,0.000249,0.000266
52.000000,0.000023,0.000093
53.000000,0.000131,0.000193
54.000000,0.000312,0.000326
55.000000,0.000322,0.000294
56.000000,0.000091,0.000086
57.000000,0.000000,0.000000
58.000000,0.000146,0.000168
59.000000,0.000300,0.000361
60.000000,0.000127,0.000191
61.000000,0.000000,0.000000
62.000000,0.000000,0.000000
63.000000,0.000218,0.000281
64.000000,0.000447,0.000544
65.000000,0.000161,0.000187
66.000000,0.000000,0.000000
67.000000,0.000083,0.000103
68.000000,0.000347,0.000408
69.000000,0.000248,0.000274
70.000000,0.000044,0.000049
71.000000,0.000075,0.000074
72.000000,0.000240,0.000258
73.000000,0.000296,0.000312
74.000000,0.000138,0.000195
75.000000,0.000000,0.000000
76.000000,0.000002,0.000025
77.000000,0.000166,0.000153
78.000000,0.000149,0.000149
79.000000,0.000101,0.000150
80.000000,0.000138,0.000177
81.000000,0.000181,0.000216
82.000000,0.000146,0.000162
83.000000,0.000258,0.000297
84.000000,0.000150,0.000183
85.000000,0.000104,0.000098
86.000000,0.000159,0.000155
87.000000,0.000183,0.000200
88.000000,0.000005,0.000044
89.000000,0.000000,0.000000
90.000000,0.000103,0.000146
91.000000,0.000201,0.000258
92.000000,0.000102,0.000096
93.000000,0.000149,0.000168
94.000000,0.000106,0.000127
95.000000,0.000193,0.000211
96.000000,0.000031,0.000053
97.000000,0.000181,0.000215
98.000000,0.000191,0.000201
99.000000,0.000226,0.000242
100.000000,0.000139,0.000169
101.000000,0.000222,0.000241
102.000000,0.000169,0.000185
103.000000,0.000149,0.000186
104.000000,0.000099,0.000130
105.000000,0.000010,0.000039
106.000000,0.000042,0.000078
107.000000,0.000115,0.000131
108.000000,0.000084,0.000091
109.000000,0.000048,0.000070
110.000000,0.000069,0.000095
111.000000,0.000292,0.000321
112.000000,0.000250,0.000280
113.000000,0.000081,0.000108
114.000000,0.000108,0.000126
115.000000,0.000253,0.000268
116.000000,0.000127,0.000141
117.000000,0.000097,0.000107
118.000000,0.000058,0.000086
119.000000,0.000027,0.000060
120.000000,0.000050,0.000075
121.000000,0.000061,0.000098
122.000000,0.000145,0.000173
123.000000,0.000089,0.000114
124.000000,0.000172,0.000184
125.000000,0.000168,0.000180
126.000000,0.000170,0.000192
127.000000,0.000179,0.000208
128.000000,0.000180,0.000197
129.000000,0.000127,0.000143
130.000000,0.000191,0.000210
131.000000,0.000225,0.000251
132.000000,0.000122,0.000134
133.000000,0.000074,0.000093
134.000000,0.000067,0.000110
135.000000,0.000092,0.000133
136.000000,0.000035,0.000067
137.000000,0.000022,0.000050
138.000000,0.000095,0.000115
139.000000,0.000125,0.000143
140.000000,0.000196,0.000217
141.000000,0.000191,0.000210
142.000000,0.000106,0.000133
143.000000,0.000152,0.000183
144.000000,0.000212,0.000227
145.000000,0.000002,0.000022
146.000000,0.000126,0.000139
147.000000,0.000127,0.000138
148.000000,0.000132,0.000153
149.000000,0.000032,0.000069
150.000000,0.000100,0.000116
151.000000,0.000148,0.000179
152.000000,0.000134,0.000161
153.000000,0.000103,0.000126
154.000000,0.000118,0.000139
155.000000,0.000107,0.000128
156.000000,0.000138,0.000165
157.000000,0.000143,0.000159
158.000000,0.000100,0.000124
159.000000,0.000115,0.000141
160.000000,0.000076,0.000093
161.000000,0.000151,0.000170
162.000000,0.000100,0.000127
163.000000,0.000148,0.000171
164.000000,0.000073,0.000103
165.000000,0.000156,0.000172
166.000000,0.000071,0.000097
167.000000,0.000129,0.000151
168.000000,0.000132,0.000149
169.000000,0.000080,0.000115
170.000000,0.000113,0.000139
171.000000,0.000110,0.000132
172.000000,0.000101,0.000130
173.000000,0.000110,0.000138
174.000000,0.000083,0.000108
175.000000,0.000140,0.000168
176.000000,0.000096,0.000116
177.000000,0.000142,0.000177
178.000000,0.000104,0.000123
179.000000,0.000181,0.000193
180.000000,0.000089,0.000122
181.000000,0.000135,0.000157
182.000000,0.000112,0.000139
183.000000,0.000094,0.000116
184.000000,0.000142,0.000160
185.000000,0.000144,0.000173
186.000000,0.000084,0.000112
187.000000,0.000166,0.000178
188.000000,0.000032,0.000075
189.000000,0.000118,0.000143
190.000000,0.000206,0.000212
191.000000,0.000074,0.000099
192.000000,0.000117,0.000142
193.000000,0.000146,0.000171
194.000000,0.000109,0.000130
195.000000,0.000114,0.000136
196.000000,0.000182,0.000188
197.000000,0.000123,0.000133
198.000000,0.000112,0.000145
199.000000,0.000094,0.000110
