radial,horizontal_lsf,vertical_lsf
-2.000000,0.044149,0.050839
-1.000000,0.042253,0.046429
0.000000,0.057200,0.046344
1.000000,0.052909,0.053227
2.000000,0.034755,0.042084
3.000000,0.036228,0.028635
4.000000,0.033318,0.029425
5.000000,0.024475,0.027463
6.000000,0.018909,0.019101
7.000000,0.016662,0.013929
8.000000,0.014012,0.014112
9.000000,0.010583,0.011251
10.000000,0.008439,0.008587
11.000000,0.008554,0.007065
12.000000,0.008971,0.006385
13.000000,0.006350,0.006503
14.000000,0.003814,0.006278
15.000000,0.004067,0.004936
16.000000,0.005407,0.004101
17.000000,0.004507,0.004035
18.000000,0.002697,0.003604
19.000000,0.002269,0.003029
20.000000,0.003639,0.003349
21.000000,0.003876,0.002747
22.000000,0.001978,0.001220
23.000000,0.001941,0.001134
24.000000,0.002708,0.001873
25.000000,0.002237,0.002137
26.000000,0.001093,0.001687
27.000000,0.001447,0.001002
28.000000,0.001994,0.001369
29.000000,0.001529,0.001630
30.000000,0.000942,0.001475
31.000000,0.001342,0.001235
32.000000,0.001508,0.000997
33.000000,0.001125,0.002036
34.000000,0.000403,0.002135
35.000000,0.000296,0.000839
36.000000,0.001505,0.001370
37.000000,0.002080,0.002934
38.000000,0.001211,0.001530
39.000000,0.001169,0.000000
40.000000,0.002114,0.000235
41.000000,0.001373,0.001274
42.000000,0.000125,0.001615
43.000000,0.000155,0.000924
44.000000,0.000371,0.001272
45.000000,0.000964,0.001388
46.000000,0.001225,0.000984
47.000000,0.001277,0.000730
48.000000,0.001621,0.000717
49.000000,0.001137,0.000922
50.000000,0.000357,0.001143
51.000000,0.000634,0.001076
52.000000,0.000917,0.001276
53.000000,0.000846,0.001293
54.000000,0.000411,0.000388
55.000000,0.000299,0.000754
56.000000,0.001761,0.001362
57.000000,0.001555,0.000563
58.000000,0.000404,0.000000
59.000000,0.000844,0.000317
60.000000,0.001464,0.000792
61.000000,0.001111,0.001103
62.000000,0.000000,0.001199
63.000000,0.000000,0.000831
64.000000,0.001280,0.001338
65.000000,0.002185,0.002448
66.000000,0.000872,0.001574
67.000000,0.000512,0.000000
68.000000,0.001315,0.000000
69.000000,0.001808,0.001797
70.000000,0.000634,0.002328
71.000000,0.000110,0.000442
72.000000,0.000219,0.000000
73.000000,0.000621,0.001414
74.000000,0.000981,0.002271
75.000000,0.000804,0.001234
76.000000,0.000889,0.000275
77.000000,0.000809,0.000471
78.000000,0.000681,0.000875
79.000000,0.000361,0.000874
80.000000,0.000000,0.000958
81.000000,0.000577,0.001082
82.000000,0.000703,0.001455
83.000000,0.000907,0.001198
84.000000,0.000712,0.000790
85.000000,0.000821,0.001064
86.000000,0.000665,0.001443
87.000000,0.000000,0.000725
88.000000,0.000904,0.000653
89.000000,0.002044,0.001349
90.000000,0.001274,0.001095
91.000000,0.000509,0.000220
92.000000,0.000702,0.000541
93.000000,0.001217,0.001365
94.000000,0.001264,0.000902
95.000000,0.000000,0.000382
96.000000,0.000000,0.001021
97.000000,0.000504,0.001883
98.000000,0.001100,0.001170
99.000000,0.001027,0.000000
100.000000,0.000778,0.000385
101.000000,0.001267,0.002472
102.000000,0.001756,0.001400
103.000000,0.000893,0.000000
104.000000,0.000167,0.000000
105.000000,0.000556,0.001825
106.000000,0.001502,0.001798
107.000000,0.001182,0.000004
108.000000,0.000000,0.000000
109.000000,0.000000,0.001077
110.000000,0.001195,0.001276
111.000000,0.000771,0.000391
112.000000,0.000148,0.000334
113.000000,0.001319,0.000823
114.000000,0.001838,0.001341
115.000000,0.000975,0.001181
116.000000,0.000380,0.000641
117.000000,0.001024,0.001052
118.000000,0.000837,0.000943
119.000000,0.000000,0.000722
120.000000,0.000357,0.000704
121.000000,0.001959,0.000804
122.000000,0.001305,0.001049
123.000000,0.000000,0.001801
124.000000,0.000228,0.001781
125.000000,0.001602,0.000993
126.000000,0.000973,0.001194
127.000000,0.000000,0.001112
128.000000,0.000000,0.000476
129.000000,0.000557,0.000894
130.000000,0.000903,0.000982
131.000000,0.000747,0.000000
132.000000,0.001046,0.000181
133.000000,0.001312,0.001374
134.000000,0.000780,0.001812
135.000000,0.000459,0.000000
136.000000,0.000639,0.000021
137.000000,0.001011,0.002010
138.000000,0.000847,0.000977
139.000000,0.001034,0.000154
140.000000,0.000517,0.000581
141.000000,0.000277,0.002032
142.000000,0.000845,0.002460
143.000000,0.000891,0.000899
144.000000,0.000989,0.000000
145.000000,0.000838,0.000636
146.000000,0.000939,0.001089
147.000000,0.001462,0.000748
148.000000,0.000965,0.000451
149.000000,0.000387,0.000830
150.000000,0.000170,0.000950
151.000000,0.000524,0.001477
152.000000,0.000517,0.001070
153.000000,0.000890,0.000578
154.000000,0.001430,0.000604
155.000000,0.000196,0.000708
156.000000,0.000000,0.000143
157.000000,0.000708,0.000883
158.000000,0.000829,0.000954
159.000000,0.000409,0.000522
160.000000,0.000727,0.001345
161.000000,0.000721,0.001119
162.000000,0.000416,0.001325
163.000000,0.000898,0.000749
164.000000,0.001031,0.000000
165.000000,0.000773,0.000000
166.000000,0.001204,0.001312
167.000000,0.001365,0.001301
168.000000,0.000531,0.000469
169.000000,0.001051,0.000259
170.000000,0.001140,0.001329
171.000000,0.000601,0.001567
172.000000,0.000594,0.000778
173.000000,0.000953,0.000871
174.000000,0.000904,0.000858
175.000000,0.000780,0.000879
176.000000,0.000591,0.001092
177.000000,0.001002,0.000966
178.000000,0.000568,0.000907
179.000000,0.000148,0.000875
180.000000,0.000359,0.000972
181.000000,0.001383,0.000583
182.000000,0.000325,0.000951
183.000000,0.000063,0.000442
184.000000,0.000714,0.000354
185.000000,0.000880,0.001245
186.000000,0.000874,0.001228
187.000000,0.000559,0.000600
188.000000,0.001636,0.000737
189.000000,0.001225,0.001324
